
 forces (fx,fy,fz) for set MBDFEM321CONSTRAINTS and time  0.1000000E+01

       157 -1.211198E-03 -5.882083E-04  1.866409E-02
       154 -9.711759E-04  5.882083E-04 -2.033353E-02
       177 -4.642240E-04 -1.074444E-16  8.787609E-04
